Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Date	Begin Hour	Begin Path	Begin File	File Offset (s)	Date Check	Time Check	Score	Tags	Notes	column17	raven_filename	Analyst	Verification_2	OLD-Selection	Site	Channel-OLD	hour	file date	date(raven)	Tag 1	Tag 2	fileDate	Begin Path - old
444	Spectrogram 1	01	913.28	915.2	5	250	01/01/1970	00	hour_eight.wav	hour_eight.wav	913.28	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
445	Spectrogram 1	01	1027.84	1030.4	5	250	01/01/1970	00	hour_eight.wav	hour_eight.wav	1027.84	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
446	Spectrogram 1	01	1212.8	1215.36	5	250	01/01/1970	00	hour_eight.wav	hour_eight.wav	1212.8	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
447	Spectrogram 1	01	1297.28	1300.48	5	250	01/01/1970	00	hour_eight.wav	hour_eight.wav	1297.28	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
448	Spectrogram 1	01	1628.8	1632.64	5	250	01/01/1970	00	hour_eight.wav	hour_eight.wav	1628.8	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
449	Spectrogram 1	01	1775.36	1777.28	5	250	01/01/1970	00	hour_eight.wav	hour_eight.wav	1775.36	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
450	Spectrogram 1	01	1850.88	1853.44	5	250	01/01/1970	00	hour_eight.wav	hour_eight.wav	1850.88	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
451	Spectrogram 1	01	1900.16	1902.08	5	250	01/01/1970	00	hour_eight.wav	hour_eight.wav	1900.16	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
452	Spectrogram 1	01	1971.2	1974.4	5	250	01/01/1970	00	hour_eight.wav	hour_eight.wav	1971.2	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
453	Spectrogram 1	01	2156.16	2158.08	5	250	01/01/1970	00	hour_eight.wav	hour_eight.wav	2156.16	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
454	Spectrogram 1	01	2295.04	2298.88	5	250	01/01/1970	00	hour_eight.wav	hour_eight.wav	2295.04	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
455	Spectrogram 1	01	2510.72	2512.64	5	250	01/01/1970	00	hour_eight.wav	hour_eight.wav	2510.72	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
456	Spectrogram 1	01	2744.96	2746.88	5	250	01/01/1970	00	hour_eight.wav	hour_eight.wav	2744.96	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
457	Spectrogram 1	01	3082.88	3085.44	5	250	01/01/1970	00	hour_eight.wav	hour_eight.wav	3082.88	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
458	Spectrogram 1	01	3193.6	3196.16	5	250	01/01/1970	00	hour_eight.wav	hour_eight.wav	3193.6	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
459	Spectrogram 1	01	3318.4	3320.96	5	250	01/01/1970	00	hour_eight.wav	hour_eight.wav	3318.4	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
